Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Jardel,Forward,26,FC Porto,Liga NOS,Galatasaray,Süper Lig,00-01,NA,17050000
Nuno Gomes,Forward,24,Benfica,Liga NOS,Fiorentina,Serie A,00-01,NA,17000000
Sérgio Conceição,Midfielder,25,Lazio,Serie A,Parma,Serie A,00-01,NA,17000000
Alfonso,Forward,27,Real Betis,LaLiga2,FC Barcelona,LaLiga,00-01,NA,16500000
Francisco Farinós,Midfielder,22,Valencia CF,LaLiga,Inter,Serie A,00-01,NA,16250000
Kakhaber Kaladze,Defender,22,Dynamo Kyiv,Premier Liga,AC Milan,Serie A,00-01,NA,16000000
Francis Jeffers,Forward,20,Everton,Premier League,Arsenal,Premier League,00-01,NA,15300000
Emmanuel Petit,Midfielder,29,Arsenal,Premier League,FC Barcelona,LaLiga,00-01,NA,15000000
Tomás Rosicky,Midfielder,20,Sparta Praha, Czech Republic,Bor. Dortmund,1.Bundesliga,00-01,NA,14500000
Catanha,Forward,28,Málaga CF,LaLiga,Celta de Vigo,LaLiga,00-01,NA,14420000
Juan Pablo Ángel,Forward,25,River Plate, Argentina,Aston Villa,Premier League,00-01,NA,14400000
Mateja Kezman,Forward,21,Partizan, Serbia,PSV Eindhoven,Eredivisie,00-01,NA,14000000
Claude Makélélé,Midfielder,27,Celta de Vigo,LaLiga,Real Madrid,LaLiga,00-01,NA,14000000
Aldo Duscher,Midfielder,21,Sporting CP,Liga NOS,Dep. La Coruña,LaLiga,00-01,NA,13000000
Ugo Ehiogu,Defender,27,Aston Villa,Premier League,Middlesbrough,Premier League,00-01,NA,12200000
Jesper Grönkjaer,Midfielder,23,AFC Ajax,Eredivisie,Chelsea,Premier League,00-01,NA,11850000
Fabien Barthez,Goalkeeper,29,Monaco,Ligue 1,Man Utd,Premier League,00-01,NA,11700000
Edmílson,Defender,23,São Paulo, Brazil,Olympique Lyon,Ligue 1,00-01,NA,11000000
Stéphane Dalmat,Midfielder,21,Marseille,Ligue 1,Paris SG,Ligue 1,00-01,NA,10750000
Laurén,Defender,23,RCD Mallorca,LaLiga,Arsenal,Premier League,00-01,NA,10700000
Pedro Munitis,Forward,25,Racing,LaLiga,Real Madrid,LaLiga,00-01,NA,10500000
Olivier Dacourt,Midfielder,25,Lens,Ligue 1,Leeds,Premier League,00-01,NA,10500000
Carl Cort,Forward,22,MK Dons, England,Newcastle,Premier League,00-01,NA,10500000
Stéphane Porato,Goalkeeper,26,Marseille,Ligue 1,Monaco,Ligue 1,00-01,NA,10500000
Robert Pirès,Midfielder,26,Marseille,Ligue 1,Arsenal,Premier League,00-01,NA,9800000
Émerson,Midfielder,28,CD Tenerife,LaLiga2,Dep. La Coruña,LaLiga,00-01,NA,9600000
Chris Sutton,Forward,27,Chelsea,Premier League,Celtic, Scotland,00-01,NA,9500000
Claudio Husaín,Midfielder,25,River Plate, Argentina,SSC Napoli,Serie A,00-01,NA,9300000
Craig Bellamy,Midfielder,21,Norwich, England,Coventry City,Premier League,00-01,NA,9250000
Mark Viduka,Forward,24,Celtic, Scotland,Leeds,Premier League,00-01,NA,9150000
Pauleta,Forward,27,Dep. La Coruña,LaLiga,G. Bordeaux,Ligue 1,00-01,NA,9100000
Alpay Özalan,Defender,27,Fenerbahce,Süper Lig,Aston Villa,Premier League,00-01,NA,9000000
Christian Ziege,Midfielder,28,Middlesbrough,Premier League,Liverpool,Premier League,00-01,NA,9000000
Nick Barmby,Midfielder,26,Everton,Premier League,Liverpool,Premier League,00-01,NA,9000000
Marc-Vivien Foé,Midfielder,25,West Ham,Premier League,Olympique Lyon,Ligue 1,00-01,NA,9000000
Lúcio,Defender,22,Internacional, Brazil,Bay. Leverkusen,1.Bundesliga,00-01,NA,8750000
Christian Karembeu,Midfielder,29,Real Madrid,LaLiga,Middlesbrough,Premier League,00-01,NA,8750000
Neil Lennon,Midfielder,29,Leicester,Premier League,Celtic, Scotland,00-01,NA,8630000
John Carew,Forward,20,Rosenborg BK,Eliteserien,Valencia CF,LaLiga,00-01,NA,8500000
Mario Stanic,Midfielder,28,Parma,Serie A,Chelsea,Premier League,00-01,NA,8400000
Igor Biscan,Defender,22,Dinamo Zagreb, Croatia,Liverpool,Premier League,00-01,NA,8250000
Julio Cruz,Forward,25,Feyenoord,Eredivisie,Bologna,Serie A,00-01,NA,8200000
Patrick Müller,Defender,23,Grasshoppers,Super League,Olympique Lyon,Ligue 1,00-01,NA,8000000
Zlatko Zahovic,Midfielder,29,Olympiacos,Super League,Valencia CF,LaLiga,00-01,NA,8000000
Sabri Lamouchi,Midfielder,28,Monaco,Ligue 1,Parma,Serie A,00-01,NA,7850000
Willy Sagnol,Defender,23,Monaco,Ligue 1,Bayern Munich ,1.Bundesliga,00-01,NA,7700000
Johan Micoud,Midfielder,26,G. Bordeaux,Ligue 1,Parma,Serie A,00-01,NA,7600000
Martín Palermo,Forward,27,Boca Juniors, Argentina,Villarreal CF,LaLiga,00-01,NA,7600000
Ben Thatcher,Defender,24,MK Dons, England,Spurs,Premier League,00-01,NA,7540000
Eidur Gudjohnsen,Forward,21,Bolton, England,Chelsea,Premier League,00-01,NA,7500000
Bruno Cirillo,Defender,23,Reggina,Serie A,Inter,Serie A,00-01,NA,7500000
Sunday Oliseh,Midfielder,25,Juventus,Serie A,Bor. Dortmund,1.Bundesliga,00-01,NA,7500000
Roger,Midfielder,21,Fluminense, Brazil,Benfica,Liga NOS,00-01,NA,7500000
Dino Baggio,Midfielder,29,Parma,Serie A,Lazio,Serie A,00-01,NA,7500000
Diego Placente,Defender,23,River Plate, Argentina,Bay. Leverkusen,1.Bundesliga,00-01,NA,7300000
David Sesa,Forward,26,Lecce,Serie A,SSC Napoli,Serie A,00-01,NA,7250000
Bert Konterman,Defender,29,Feyenoord,Eredivisie,Rangers, Scotland,00-01,NA,7250000
Dominic Matteo,Defender,26,Liverpool,Premier League,Leeds,Premier League,00-01,NA,7130000
Mauro Germán Camoranesi,Midfielder,24,CD Cruz Azul, Mexico,Hellas Verona,Serie A,00-01,NA,7000000
Rodrigo Tello,Midfielder,21,U. de Chile, Chile,Sporting CP,Liga NOS,00-01,NA,7000000
Luís Fabiano,Forward,19,Ponte Preta, Brazil,Stade Rennais,Ligue 1,00-01,NA,7000000
Pierre van Hooijdonk,Forward,30,Vitesse,Eredivisie,Benfica,Liga NOS,00-01,NA,6800000
Hermann Hreidarsson,Defender,25,MK Dons, England,Ipswich,Premier League,00-01,NA,6750000
Émerson Thome,Defender,28,Chelsea,Premier League,Sunderland,Premier League,00-01,NA,6700000
Hakan Sükür,Forward,28,Galatasaray,Süper Lig,Inter,Serie A,00-01,NA,6500000
Philippe Delaye,Midfielder,25,Montpellier,Ligue 2,Stade Rennais,Ligue 1,00-01,NA,6500000
Alex Nyarko,Defender,26,Lens,Ligue 1,Everton,Premier League,00-01,NA,6300000
Bob Peeters,Forward,26,Roda JC,Eredivisie,Vitesse,Eredivisie,00-01,NA,6300000
César Sánchez,Goalkeeper,28,Real Valladolid,LaLiga,Real Madrid,LaLiga,00-01,NA,6250000
Carlos Gamarra,Defender,29,Atlético Madrid,LaLiga2,Flamengo, Brazil,00-01,NA,6250000
Patrick M'Boma,Forward,29,Cagliari Calcio,Serie B,Parma,Serie A,00-01,NA,6100000
Claus Jensen,Midfielder,23,Bolton, England,Charlton,Premier League,00-01,NA,6000000
Lucas Bernardi,Midfielder,22,Newell's, Argentina,Marseille,Ligue 1,00-01,NA,6000000
Alain Goma,Defender,28,Newcastle,Premier League,Fulham, England,00-01,NA,6000000
Frédéric Déhu,Defender,27,FC Barcelona,LaLiga,Paris SG,Ligue 1,00-01,NA,6000000
Esteban Fuertes,Forward,27,Derby,Premier League,Lens,Ligue 1,00-01,NA,6000000
Milan Rapaic,Midfielder,26,Perugia,Serie A,Fenerbahce,Süper Lig,00-01,NA,6000000
Sebastián Cejas,Goalkeeper,26,Newell's, Argentina,AS Roma,Serie A,00-01,NA,6000000
Zé Elias,Midfielder,23,Bologna,Serie A,Olympiacos,Super League,00-01,NA,5800000
Joos Valgaeren,Defender,24,Roda JC,Eredivisie,Celtic, Scotland,00-01,NA,5700000
Bülent Akin,Midfielder,21,Denizlispor,Süper Lig,Galatasaray,Süper Lig,00-01,NA,5500000
Ronald de Boer,Midfielder,30,FC Barcelona,LaLiga,Rangers, Scotland,00-01,NA,5500000
Fernando Ricksen,Defender,23,AZ Alkmaar,Eredivisie,Rangers, Scotland,00-01,NA,5400000
Duncan Ferguson,Forward,28,Newcastle,Premier League,Everton,Premier League,00-01,NA,5400000
Giorgi Demetradze,Forward,24,Dynamo Kyiv,Premier Liga,Real Sociedad,LaLiga,00-01,NA,5400000
Christian Bassedas,Midfielder,27,Vélez Sarsfield, Argentina,Newcastle,Premier League,00-01,NA,5300000
José Luis Chilavert,Goalkeeper,35,Vélez Sarsfield, Argentina,R. Strasbourg,Ligue 1,00-01,NA,5300000
Roberto Ayala,Defender,27,AC Milan,Serie A,Valencia CF,LaLiga,00-01,NA,5000000
Viorel Moldovan,Forward,28,Fenerbahce,Süper Lig,FC Nantes,Ligue 1,00-01,NA,5000000
Vratislav Gresko,Defender,23,Bay. Leverkusen,1.Bundesliga,Inter,Serie A,00-01,NA,5000000
Giorgi Kinkladze,Midfielder,27,AFC Ajax,Eredivisie,Derby,Premier League,00-01,NA,5000000
Serkan Aykut,Forward,25,Samsunspor,Süper Lig,Galatasaray,Süper Lig,00-01,NA,5000000
Fernandão,Forward,22,Goiás EC, Brazil,Marseille,Ligue 1,00-01,NA,5000000
Haim Revivo,Midfielder,28,Celta de Vigo,LaLiga,Fenerbahce,Süper Lig,00-01,NA,5000000
Vicente,Midfielder,18,Levante UD,LaLiga2,Valencia CF,LaLiga,00-01,NA,4800000
Julio Arca,Midfielder,19,Argentinos, Argentina,Sunderland,Premier League,00-01,NA,4700000
Richard Dunne,Defender,21,Everton,Premier League,Man City,Premier League,00-01,NA,4500000
Gary Rowett,Defender,26,Birmingham, England,Leicester,Premier League,00-01,NA,4500000
Richard Núñez,Midfielder,25,Danubio FC, Uruguay,Grasshoppers,Super League,00-01,NA,4500000
David Thompson,Midfielder,22,Liverpool,Premier League,Coventry City,Premier League,00-01,NA,4500000
Alessandro Pistone,Defender,24,Newcastle,Premier League,Everton,Premier League,00-01,NA,4500000
Joseph-Désiré Job,Forward,22,Lens,Ligue 1,Middlesbrough,Premier League,00-01,NA,4500000
Radostin Kishishev,Midfielder,25,Litex Lovetch, Bulgaria,Charlton,Premier League,00-01,NA,4500000
Bernard Diomède,Midfielder,26,AJ Auxerre,Ligue 1,Liverpool,Premier League,00-01,NA,4500000
Sixto Peralta,Midfielder,21,Racing Club, Argentina,Inter,Serie A,00-01,NA,4500000
David Johnson,Midfielder,24,Ipswich,Premier League,Nottm Forest, England,00-01,NA,4500000
Kennet Andersson,Forward,32,Bologna,Serie A,Fenerbahce,Süper Lig,00-01,NA,4500000
Marquinhos,Midfielder,18,Avaí FC, Brazil,Bay. Leverkusen,1.Bundesliga,00-01,NA,4500000
Alan Thompson,Midfielder,26,Aston Villa,Premier League,Celtic, Scotland,00-01,NA,4400000
Jonatan Johansson,Forward,24,Rangers, Scotland,Charlton,Premier League,00-01,NA,4300000
Rodolfo Arruabarrena,Defender,24,Boca Juniors, Argentina,Villarreal CF,LaLiga,00-01,NA,4200000
Rigobert Song,Defender,24,Liverpool,Premier League,West Ham,Premier League,00-01,NA,4100000
José Francisco Molina,Goalkeeper,29,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,00-01,NA,4100000
Jörg Heinrich,Midfielder,30,Fiorentina,Serie A,Bor. Dortmund,1.Bundesliga,00-01,NA,4100000
Adrian Mutu,Forward,21,Inter,Serie A,Hellas Verona,Serie A,00-01,NA,4000000
Fernando Meira,Defender,22,Vit. Guimarães,Liga NOS,Benfica,Liga NOS,00-01,NA,4000000
Gianni Guigou,Midfielder,25,Nacional, Uruguay,AS Roma,Serie A,00-01,NA,4000000
Richard Dutruel,Goalkeeper,27,Celta de Vigo,LaLiga,FC Barcelona,LaLiga,00-01,NA,4000000
Pascal Nouma,Forward,28,Lens,Ligue 1,Besiktas,Süper Lig,00-01,NA,4000000
Craig Hignett,Midfielder,30,Barnsley FC, England,Blackburn, England,00-01,NA,4000000
Zoran Mirkovic,Defender,28,Juventus,Serie A,Fenerbahce,Süper Lig,00-01,NA,4000000
Charles Amoah,Forward,25,FC St. Gallen,Super League,Sturm Graz,Bundesliga,00-01,NA,3930000
Niclas Alexandersson,Midfielder,28,Sheff Wed, England,Everton,Premier League,00-01,NA,3800000
Darren Huckerby,Midfielder,24,Leeds,Premier League,Man City,Premier League,00-01,NA,3800000
David Hopkin,Midfielder,29,Leeds,Premier League,Bradford City,Premier League,00-01,NA,3750000
Alf-Inge Haland,Midfielder,27,Leeds,Premier League,Man City,Premier League,00-01,NA,3750000
Lomana LuaLua,Forward,19,Colchester Utd., England,Newcastle,Premier League,00-01,NA,3750000
Steve Watson,Midfielder,26,Aston Villa,Premier League,Everton,Premier League,00-01,NA,3750000
Lee Carsley,Midfielder,26,Blackburn, England,Coventry City,Premier League,00-01,NA,3750000
Don Hutchison,Midfielder,29,Everton,Premier League,Sunderland,Premier League,00-01,NA,3750000
Didier Deschamps,Midfielder,31,Chelsea,Premier League,Valencia CF,LaLiga,00-01,NA,3500000
Santiago Solari,Midfielder,23,Atlético Madrid,LaLiga2,Real Madrid,LaLiga,00-01,NA,3500000
Thomas Gravesen,Midfielder,24,Hamburger SV,1.Bundesliga,Everton,Premier League,00-01,NA,3500000
Jeong-hwan Ahn,Forward,23,Busan IPark," Korea, South",Perugia,Serie A,00-01,NA,3500000
Vasilios Tsiartas,Midfielder,27,Sevilla FC,LaLiga2,AEK Athens,Super League,00-01,NA,3500000
Stephen Hughes,Midfielder,23,Arsenal,Premier League,Everton,Premier League,00-01,NA,3500000
Marc Wilmots,Midfielder,31,FC Schalke 04,1.Bundesliga,G. Bordeaux,Ligue 1,00-01,NA,3500000
Alen Boksic,Forward,30,Lazio,Serie A,Middlesbrough,Premier League,00-01,NA,3450000
Geoff Horsfield,Forward,26,Fulham, England,Birmingham, England,00-01,NA,3380000
Louis Saha,Forward,21,FC Metz,Ligue 1,Fulham, England,00-01,NA,3150000
Marcus Bent,Forward,22,Sheffield Utd., England,Blackburn, England,00-01,NA,3150000
Vratislav Lokvenc,Forward,26,Sparta Praha, Czech Republic,1.FC K'lautern,1.Bundesliga,00-01,NA,3150000
Aleksey Smertin,Midfielder,25,Loko Moscow,Premier Liga,G. Bordeaux,Ligue 1,00-01,NA,3000000
Stjepan Tomas,Defender,24,Dinamo Zagreb, Croatia,Vicenza,Serie A,00-01,NA,3000000
Jason Roberts,Forward,22,Bristol Rovers, England,West Brom, England,00-01,NA,3000000
Emmanuel Olisadebe,Forward,22,Pol. Warsaw,Ekstraklasa,Panathinaikos,Super League,00-01,NA,3000000
Danny Higginbotham,Defender,21,Man Utd,Premier League,Derby,Premier League,00-01,NA,3000000
Andrew O'Brien,Defender,21,Bradford City,Premier League,Newcastle,Premier League,00-01,NA,3000000
Antonio Pacheco,Forward,24,Peñarol, Uruguay,Inter,Serie A,00-01,NA,3000000
Noel Whelan,Forward,25,Coventry City,Premier League,Middlesbrough,Premier League,00-01,NA,3000000
Changui,Forward,23,SD Compostela,LaLiga2,Dep. La Coruña,LaLiga,00-01,NA,3000000
Shaun Bartlett,Forward,28,FC Zürich,Super League,Charlton,Premier League,00-01,NA,3000000
Dmitri Alenichev,Midfielder,27,AS Roma,Serie A,FC Porto,Liga NOS,00-01,NA,3000000
Andrejs Stolcers,Midfielder,26,Shakhtar D.,Premier Liga,Fulham, England,00-01,NA,3000000
Oktay Derelioglu,Forward,24,Siirtspor,Süper Lig,UD Las Palmas,LaLiga,00-01,NA,3000000
Bjørn Otto Bragstad,Defender,29,Rosenborg BK,Eliteserien,Derby,Premier League,00-01,NA,3000000
Kenny Miller,Forward,20,Hibernian FC, Scotland,Rangers, Scotland,00-01,NA,3000000
Johan Elmander,Forward,19,Örgryte, Sweden,Feyenoord,Eredivisie,00-01,NA,2900000
Milan Fukal,Defender,25,Sparta Praha, Czech Republic,Hamburger SV,1.Bundesliga,00-01,NA,2900000
Andrejs Rubins,Midfielder,21,Skonto Riga, Latvia,Crystal Palace, England,00-01,NA,2800000
Marcel Ketelaer,Midfielder,22,Bor. M'gladbach,2.Bundesliga,Hamburger SV,1.Bundesliga,00-01,NA,2800000
John Collins,Midfielder,32,Everton,Premier League,Fulham, England,00-01,NA,2750000
Didier Martel,Forward,28,FC Utrecht,Eredivisie,Vitesse,Eredivisie,00-01,NA,2750000
Bernard Mendy,Defender,18,SM Caen,Ligue 2,Paris SG,Ligue 1,00-01,NA,2700000
Danijel Ljuboja,Forward,21,FC Sochaux,Ligue 2,R. Strasbourg,Ligue 1,00-01,NA,2700000
Tomás Galásek,Midfielder,27,Willem II,Eredivisie,AFC Ajax,Eredivisie,00-01,NA,2700000
Yoshikatsu Kawaguchi,Goalkeeper,26,Yokohama F. M.,J1 - 2nd Stage,Portsmouth,First Division,00-01,NA,2700000
Gabriel Schürrer,Defender,28,Dep. La Coruña,LaLiga,UD Las Palmas,LaLiga,00-01,NA,2700000
Henning Berg,Defender,30,Man Utd,Premier League,Blackburn, England,00-01,NA,2630000
Gary Naysmith,Defender,21,Heart of Midl., Scotland,Everton,Premier League,00-01,NA,2630000
Petri Pasanen,Defender,19,FC Lahti, Finland,AFC Ajax,Eredivisie,00-01,NA,2600000
Christian Dailly,Defender,27,Blackburn, England,West Ham,Premier League,00-01,NA,2600000
Jesper Christiansen,Goalkeeper,22,Odense BK, Denmark,Rangers, Scotland,00-01,NA,2550000
Nikola Lazetic,Midfielder,22,FK Obilic, Serbia,Fenerbahce,Süper Lig,00-01,NA,2500000
Tim Cornelisse,Defender,22,RKC Waalwijk,Eredivisie,Vitesse,Eredivisie,00-01,NA,2500000
Abdelilah Saber,Defender,26,Sporting CP,Liga NOS,SSC Napoli,Serie A,00-01,NA,2500000
Callum Davidson,Defender,24,Blackburn, England,Leicester,Premier League,00-01,NA,2500000
Fazli Ulusal,Forward,26,Antalyaspor,Süper Lig,Besiktas,Süper Lig,00-01,NA,2500000
Ole Martin Arst,Forward,25,KAA Gent,Jupiler Pro League,Standard Liège,Jupiler Pro League,00-01,NA,2500000
Feliciano Magro,Midfielder,21,Grasshoppers,Super League,Udinese Calcio,Serie A,00-01,NA,2500000
Jean-François Gillet,Goalkeeper,21,Monza,Serie B,Bari,Serie A,00-01,NA,2500000
Dimitar Berbatov,Forward,19,CSKA Sofia, Bulgaria,Bay. Leverkusen,1.Bundesliga,00-01,NA,2500000
Cédric Roussel,Forward,23,Coventry City,Premier League,Wolves, England,00-01,NA,2400000
Per Frandsen,Midfielder,30,Blackburn, England,Bolton, England,00-01,NA,2400000
Luciano,Midfielder,24,Bologna,Serie A,Chievo Verona,Serie B,00-01,NA,2330000
Edgaras Jankauskas,Forward,25,Club Brugge,Jupiler Pro League,Real Sociedad,LaLiga,00-01,NA,2300000
Alan Mahon,Midfielder,22,Sporting CP,Liga NOS,Blackburn, England,00-01,NA,2300000
Gustavo Nery,Defender,22,Guarani, Brazil,São Paulo, Brazil,00-01,NA,2300000
Ciriaco Sforza,Midfielder,30,1.FC K'lautern,1.Bundesliga,Bayern Munich ,1.Bundesliga,00-01,NA,2300000
David Hopkin,Midfielder,30,Bradford City,Premier League,Crystal Palace, England,00-01,NA,2250000
Paul Robinson,Forward,21,Newcastle,Premier League,MK Dons, England,00-01,NA,2250000
Karel Poborsky,Midfielder,28,Benfica,Liga NOS,Lazio,Serie A,00-01,NA,2250000
Rab Douglas,Goalkeeper,28,Dundee FC, Scotland,Celtic, Scotland,00-01,NA,2250000
Erman Güracar,Defender,25,Samsunspor,Süper Lig,Besiktas,Süper Lig,00-01,NA,2250000
Trevor Benjamin,Forward,21,Cambridge Utd., England,Leicester,Premier League,00-01,NA,2250000
John Curtis,Defender,21,Man Utd,Premier League,Blackburn, England,00-01,NA,2250000
Peter Lövenkrands,Forward,20,Akademisk BK, Denmark,Rangers, Scotland,00-01,NA,2200000
Ivica Dragutinovic,Defender,24,KAA Gent,Jupiler Pro League,Standard Liège,Jupiler Pro League,00-01,NA,2200000
Francesc Arnau,Goalkeeper,25,FC Barcelona,LaLiga,Málaga CF,LaLiga,00-01,NA,2100000
Bernt Haas,Defender,22,Grasshoppers,Super League,Sunderland,Premier League,00-01,NA,2100000
Pascal Ojigwe,Midfielder,23,1. FC Köln,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,00-01,NA,2100000
Chris Makin,Defender,27,Sunderland,Premier League,Ipswich,Premier League,00-01,NA,2100000
Frank Verlaat,Defender,32,AFC Ajax,Eredivisie,Werder Bremen,1.Bundesliga,00-01,NA,2100000
Ashley Ward,Forward,29,Blackburn, England,Bradford City,Premier League,00-01,NA,2100000
David Healy,Forward,21,Man Utd,Premier League,Preston NE, England,00-01,NA,2000000
Georgi Peev,Midfielder,21,Lok. Sofia, Bulgaria,Dynamo Kyiv,Premier Liga,00-01,NA,2000000
Hervé Tum,Forward,21,FC Sion,Super League,FC Basel,Super League,00-01,NA,2000000
Goran Gavrancic,Defender,22,Cukaricki, Serbia,Dynamo Kyiv,Premier Liga,00-01,NA,2000000
Elvir Bolic,Forward,28,Fenerbahce,Süper Lig,Rayo Vallecano,LaLiga,00-01,NA,2000000
Aleksandr Panov,Forward,24,Zenit S-Pb,Premier Liga,Saint-Étienne,Ligue 1,00-01,NA,2000000
A,Goalkeeper,22,Spurs,Premier League,Watford,England,00-01,NA,2000000
Slavisa Jokanovic,Midfielder,32,Dep. La Coruña,LaLiga,Chelsea,Premier League,00-01,NA,1900000
José Amavisca,Midfielder,29,Racing,LaLiga,Dep. La Coruña,LaLiga,00-01,NA,1900000
Ivica Banovic,Midfielder,19,NK Zagreb, Croatia,Werder Bremen,1.Bundesliga,00-01,NA,1900000
Tommy Berntsen,Defender,27,Lilleström SK,Eliteserien,E. Frankfurt,1.Bundesliga,00-01,NA,1880000
Patricio Camps,Forward,28,Vélez Sarsfield, Argentina,PAOK Saloniki,Super League,00-01,NA,1850000
Brett Emerton,Midfielder,21,Sydney Olympic, Australia,Feyenoord,Eredivisie,00-01,NA,1800000
Sergej Barbarez,Forward,28,Bor. Dortmund,1.Bundesliga,Hamburger SV,1.Bundesliga,00-01,NA,1800000
Radek Bejbl,Midfielder,27,Atlético Madrid,LaLiga2,Lens,Ligue 1,00-01,NA,1800000
Robin Nelisse,Forward,22,Feyenoord,Eredivisie,AZ Alkmaar,Eredivisie,00-01,NA,1800000
Yago Yao,Defender,21,Sporting Gijón,LaLiga2,Celta de Vigo,LaLiga,00-01,NA,1800000
Zinédine Zidane,Midfielder,29,Juventus,Serie A,Real Madrid,LaLiga,01-02,NA,77500000
Gianluigi Buffon,Goalkeeper,23,Parma,Serie A,Juventus,Serie A,01-02,NA,52880000
Gaizka Mendieta,Midfielder,27,Valencia CF,LaLiga,Lazio,Serie A,01-02,NA,48000000
Juan Sebastián Verón,Midfielder,26,Lazio,Serie A,Man Utd,Premier League,01-02,NA,42600000
Rui Costa,Midfielder,29,Fiorentina,Serie A,AC Milan,Serie A,01-02,NA,42000000
Lilian Thuram,Defender,29,Parma,Serie A,Juventus,Serie A,01-02,NA,41500000
Pavel Nedved,Midfielder,28,Lazio,Serie A,Juventus,Serie A,01-02,NA,38700000
Filippo Inzaghi,Forward,27,Juventus,Serie A,AC Milan,Serie A,01-02,NA,37000000
Javier Saviola,Forward,19,River Plate, Argentina,FC Barcelona,LaLiga,01-02,NA,35900000
Ruud van Nistelrooy,Forward,25,PSV Eindhoven,Eredivisie,Man Utd,Premier League,01-02,NA,28500000
Antonio Cassano,Forward,18,Bari,Serie B,AS Roma,Serie A,01-02,NA,28500000
Hidetoshi Nakata,Midfielder,24,AS Roma,Serie A,Parma,Serie A,01-02,NA,28400000
Francesco Toldo,Goalkeeper,29,Fiorentina,Serie A,Inter,Serie A,01-02,NA,26500000
Jaap Stam,Defender,29,Man Utd,Premier League,Lazio,Serie A,01-02,NA,25750000
Márcio Amoroso,Forward,27,Parma,Serie A,Bor. Dortmund,1.Bundesliga,01-02,NA,25500000
Stefano Fiore,Midfielder,26,Udinese Calcio,Serie A,Lazio,Serie A,01-02,NA,25000000
Marcelo Salas,Forward,26,Lazio,Serie A,Juventus,Serie A,01-02,NA,25000000
Geovanni,Midfielder,21,Cruzeiro, Brazil,FC Barcelona,LaLiga,01-02,NA,21000000
Andrea Pirlo,Midfielder,22,Inter,Serie A,AC Milan,Serie A,01-02,NA,18000000
Sérgio Conceição,Midfielder,26,Parma,Serie A,Inter,Serie A,01-02,NA,18000000
Robbie Keane,Forward,20,Inter,Serie A,Leeds,Premier League,01-02,NA,18000000
Sergio,Midfielder,24,Espanyol,LaLiga,Dep. La Coruña,LaLiga,01-02,NA,17900000
